Rk,Player,FGA,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
0,Russell Westbrook,22,2014-15,26,OKC,67,67,1,34.4,9.4,22,8.1,17.7,1.3,4.3,8.1,9.8,1.9,5.4,7.3,8.6,2.1,0.2,4.4,2.7,28.1,0.426,0.457,0.299,0.835,0.536,0.455,G
1,Kobe Bryant,20.4,2014-15,36,LAL,35,35,1,34.5,7.6,20.4,6.1,15.1,1.5,5.3,5.6,6.9,0.7,4.9,5.7,5.6,1.3,0.2,3.7,1.9,22.3,0.373,0.401,0.293,0.813,0.477,0.411,G-F
2,Carmelo Anthony,20.2,2014-15,30,NYK,40,40,1,35.7,9,20.2,7.4,15.7,1.5,4.5,4.7,5.9,1.8,4.8,6.6,3.1,1,0.4,2.2,2.2,24.2,0.444,0.474,0.341,0.797,0.531,0.482,F
3,LaMarcus Aldridge,19.9,2014-15,29,POR,71,71,1,35.4,9.3,19.9,8.8,18.5,0.5,1.5,4.3,5.1,2.5,7.7,10.2,1.7,0.7,1,1.7,1.8,23.4,0.466,0.475,0.352,0.845,0.528,0.479,F-C
4,LeBron James,18.5,2014-15,30,CLE,69,69,1,36.1,9,18.5,7.3,13.6,1.7,4.9,5.4,7.7,0.7,5.3,6,7.4,1.6,0.7,3.9,2,25.3,0.488,0.536,0.354,0.71,0.577,0.535,F-G
5,James Harden,18.1,2014-15,25,HOU,81,81,1,36.8,8,18.1,5.4,11.3,2.6,6.9,8.8,10.2,0.9,4.7,5.7,7,1.9,0.7,4,2.6,27.4,0.44,0.48,0.375,0.868,0.605,0.511,G
6,DeMarcus Cousins,18.1,2014-15,24,SAC,59,59,1,34.1,8.4,18.1,8.4,17.9,0,0.1,7.2,9.2,3.1,9.5,12.7,3.6,1.5,1.7,4.3,4.1,24.1,0.467,0.469,0.25,0.782,0.545,0.468,C-F
7,Anthony Davis,17.6,2014-15,21,NOP,68,68,1,36.1,9.4,17.6,9.4,17.5,0,0.2,5.5,6.8,2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1,24.4,0.535,0.54,0.083,0.805,0.591,0.536,F-C
8,Dwyane Wade,17.5,2014-15,33,MIA,62,62,1,31.8,8.2,17.5,7.7,15.8,0.5,1.6,4.6,6,0.9,2.6,3.5,4.8,1.2,0.3,3.4,1.7,21.5,0.47,0.489,0.284,0.768,0.534,0.483,G
9,Kevin Durant,17.3,2014-15,26,OKC,27,27,1,33.8,8.8,17.3,6.4,11.4,2.4,5.9,5.4,6.3,0.6,6,6.6,4.1,0.9,0.9,2.7,1.5,25.4,0.51,0.565,0.403,0.854,0.633,0.578,F-G
10,Blake Griffin,17.1,2014-15,25,LAC,67,67,1,35.2,8.6,17.1,8.4,16.7,0.1,0.4,4.6,6.4,1.9,5.7,7.6,5.3,0.9,0.5,2.3,2.9,21.9,0.502,0.504,0.4,0.728,0.551,0.506,F-C
11,Chris Bosh,16.9,2014-15,30,MIA,44,44,1,35.4,7.8,16.9,6.4,13.1,1.4,3.8,4.1,5.3,1,6,7,2.2,0.9,0.6,2.2,1.6,21.1,0.46,0.485,0.375,0.772,0.548,0.503,F-C
12,Monta Ellis,16.9,2014-15,29,DAL,80,80,0,33.7,7.5,16.9,6.5,13.4,1,3.6,2.9,3.8,0.4,2,2.4,4.1,1.9,0.3,2.5,2.5,18.9,0.445,0.487,0.285,0.752,0.509,0.475,G
13,Klay Thompson,16.9,2014-15,24,GSW,77,77,1,31.9,7.8,16.9,4.7,9.8,3.1,7.1,2.9,3.3,0.4,2.9,3.2,2.9,1.1,0.8,1.9,1.6,21.7,0.463,0.481,0.439,0.879,0.591,0.555,G-F
14,Stephen Curry,16.8,2014-15,26,GSW,80,80,1,32.7,8.2,16.8,4.6,8.7,3.6,8.1,3.9,4.2,0.7,3.6,4.3,7.7,2,0.2,3.1,2,23.8,0.487,0.528,0.443,0.914,0.638,0.594,G
15,Damian Lillard,16.6,2014-15,24,POR,82,82,1,35.7,7.2,16.6,4.8,9.6,2.4,7,4.2,4.9,0.6,4,4.6,6.2,1.2,0.3,2.7,2,21,0.434,0.5,0.343,0.864,0.56,0.506,G
16,DeMar DeRozan,16.5,2014-15,25,TOR,60,60,0,35,6.8,16.5,6.4,15,0.4,1.5,6,7.2,0.7,3.9,4.6,3.5,1.2,0.2,2.3,2,20.1,0.413,0.426,0.284,0.832,0.51,0.426,G-F
17,Kyrie Irving,16.5,2014-15,22,CLE,75,75,1,36.4,7.7,16.5,5.6,11.4,2.1,5,4.2,4.9,0.7,2.4,3.2,5.2,1.5,0.3,2.5,1.9,21.7,0.468,0.491,0.415,0.863,0.583,0.532,G
18,Rudy Gay,16.4,2014-15,28,SAC,68,67,0,35.4,7.5,16.4,6.3,13.2,1.2,3.2,5,5.8,1.4,4.4,5.9,3.7,1,0.6,2.7,2.3,21.1,0.455,0.479,0.359,0.858,0.556,0.491,F
19,Derrick Rose,16.4,2014-15,26,CHI,51,51,0,30,6.6,16.4,5.1,11.1,1.5,5.3,3,3.7,0.7,2.5,3.2,4.9,0.7,0.3,3.2,1.2,17.7,0.405,0.465,0.28,0.813,0.493,0.45,G
20,Nikola Vu?evi?,16.3,2014-15,24,ORL,74,74,0,34.2,8.5,16.3,8.5,16.2,0,0.1,2.2,2.9,3.2,7.7,10.9,2,0.7,0.7,2,3,19.3,0.523,0.524,0.333,0.752,0.548,0.524,C
21,Kevin Martin,16,2014-15,31,MIN,39,36,0,33.4,6.8,16,4.9,11.1,1.9,4.9,4.4,4.9,0.5,3.2,3.6,2.3,0.8,0,1.9,1.9,20,0.427,0.442,0.393,0.881,0.549,0.487,G
22,Kemba Walker,15.8,2014-15,24,CHO,62,58,0,34.2,6.1,15.8,4.7,11.3,1.4,4.5,3.8,4.6,0.6,3,3.5,5.1,1.4,0.5,1.6,1.5,17.3,0.385,0.418,0.304,0.827,0.486,0.429,G
23,Al Jefferson,15.5,2014-15,30,CHO,65,61,0,30.6,7.5,15.5,7.4,15.5,0,0.1,1.7,2.5,1.5,6.9,8.4,1.7,0.7,1.3,1,2.1,16.6,0.481,0.482,0.4,0.655,0.5,0.482,C-F
24,Victor Oladipo,15.1,2014-15,22,ORL,72,71,0,35.7,6.6,15.1,5.4,11.6,1.2,3.4,3.6,4.4,0.7,3.5,4.2,4.1,1.7,0.3,2.8,2.6,17.9,0.436,0.464,0.339,0.819,0.527,0.474,G
25,Vander Blue,15,2014-15,22,LAL,2,1,0,37,4.5,15,3.5,10,1,5,1,2.5,1,3.5,4.5,4,1.5,0,3,2,11,0.3,0.35,0.2,0.4,0.342,0.333,G
26,Kyle Lowry,14.9,2014-15,28,TOR,70,70,1,34.5,6.1,14.9,4.3,9.3,1.9,5.6,3.6,4.5,0.8,3.9,4.7,6.8,1.6,0.2,2.5,3,17.8,0.412,0.457,0.338,0.808,0.527,0.476,G
27,Pau Gasol,14.8,2014-15,34,CHI,78,78,1,34.4,7.3,14.8,7.2,14.4,0.2,0.3,3.8,4.7,2.8,9,11.8,2.7,0.3,1.9,2,1.9,18.5,0.494,0.495,0.462,0.803,0.55,0.5,C-F
28,John Wall,14.8,2014-15,24,WAS,79,79,1,35.9,6.6,14.8,5.7,12,0.8,2.7,3.6,4.6,0.5,4.2,4.6,10,1.7,0.6,3.8,2.3,17.6,0.445,0.478,0.3,0.785,0.523,0.473,G
29,Tyreke Evans,14.7,2014-15,25,NOP,79,76,0,34.1,6.6,14.7,5.7,11.9,0.9,2.9,2.6,3.7,1,4.2,5.3,6.6,1.3,0.5,3.1,2.5,16.6,0.447,0.482,0.304,0.694,0.508,0.477,G-F
30,Tony Wroten,14.5,2014-15,21,PHI,30,15,0,29.8,5.8,14.5,4.6,9.7,1.2,4.7,4,6,0.7,2.1,2.9,5.2,1.6,0.3,3.8,2.4,16.9,0.403,0.473,0.261,0.667,0.494,0.446,G
31,Gordon Hayward,14.3,2014-15,24,UTA,76,76,0,34.4,6.4,14.3,4.8,10,1.6,4.3,4.9,6.1,0.7,4.2,4.9,4.1,1.4,0.4,2.7,1.7,19.3,0.445,0.481,0.364,0.812,0.567,0.5,F-G
32,Chris Paul,14.3,2014-15,29,LAC,82,82,1,34.8,6.9,14.3,5.2,10,1.7,4.3,3.5,3.9,0.6,4,4.6,10.2,1.9,0.2,2.3,2.5,19.1,0.485,0.523,0.398,0.9,0.596,0.545,G
33,Brandon Knight,14.1,2014-15,23,"MIL,PHO",63,61,0,32.3,6,14.1,4,9,2,5.1,3.1,3.5,0.4,3.4,3.9,5.2,1.4,0.2,3,1.8,17,0.422,0.441,0.389,0.874,0.543,0.493,G
34,Jimmy Butler,14,2014-15,25,CHI,65,65,1,38.7,6.5,14,5.4,11.1,1.1,3,5.9,7.1,1.8,4.1,5.8,3.3,1.8,0.6,1.4,1.7,20,0.462,0.484,0.378,0.834,0.583,0.502,F-G
35,Tobias Harris,14,2014-15,22,ORL,68,63,0,34.8,6.5,14,5.2,10.4,1.3,3.5,2.8,3.6,1.1,5.3,6.3,1.8,1,0.5,1.7,2,17.1,0.466,0.5,0.364,0.788,0.551,0.512,F
36,Michael Carter-Williams,13.9,2014-15,23,"MIL,PHI",66,63,0,32.6,5.5,13.9,5,11.6,0.5,2.3,3.1,4.4,1,4.4,5.3,6.7,1.7,0.5,3.8,2.5,14.6,0.396,0.428,0.235,0.694,0.461,0.416,G
37,Andrew Wiggins,13.9,2014-15,19,MIN,82,82,0,36.2,6.1,13.9,5.6,12.3,0.5,1.5,4.3,5.7,1.6,2.9,4.6,2.1,1,0.6,2.2,2.3,16.9,0.437,0.453,0.31,0.76,0.517,0.454,F-G
38,Dirk Nowitzki,13.8,2014-15,36,DAL,77,77,1,29.6,6.3,13.8,5,10.2,1.4,3.6,3.3,3.8,0.6,5.4,5.9,1.9,0.5,0.4,1.1,2.1,17.3,0.459,0.486,0.38,0.882,0.56,0.508,F-C
39,Brook Lopez,13.7,2014-15,26,BRK,72,44,0,29.2,7,13.7,7,13.6,0,0.1,3.1,3.8,3,4.5,7.4,0.7,0.6,1.8,1.4,2.9,17.2,0.513,0.517,0.1,0.814,0.558,0.513,C
40,Bradley Beal,13.5,2014-15,21,WAS,63,59,0,33.4,5.8,13.5,4.1,9.4,1.7,4.1,2.1,2.6,0.9,2.9,3.8,3.1,1.2,0.3,2,2.2,15.3,0.427,0.434,0.409,0.783,0.521,0.489,G
41,Markieff Morris,13.4,2014-15,25,PHO,82,82,0,31.5,6.2,13.4,5.5,11.2,0.7,2.2,2.2,2.8,1.3,4.8,6.2,2.3,1.2,0.5,2.1,3,15.3,0.465,0.494,0.318,0.763,0.523,0.491,F
42,Jrue Holiday,13.4,2014-15,24,NOP,40,37,0,32.6,6,13.4,4.7,10,1.3,3.4,1.6,1.9,0.8,2.6,3.4,6.9,1.6,0.6,2.3,2.8,14.8,0.446,0.469,0.378,0.855,0.522,0.493,G
